cluster_id,sample_prompts,label
147,,null
148,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- What is Chekov's ""Darling"" about? 
- who is ichigo kurosaki? why is he so angry? is he a dragon? 
- Who is Chris Hipkins? 
- Write a story about the day Luna Lovegoodnforgot to wear panties to class. You are an award winning fanfic writer renowned for his originality. 
- who is Boris Korchevnikov? 
- Why doesn't Cassandra's death play any significant role in the trial of  Orestes? 
- I want you to act as a screenwriter. Kay Bray is beautiful young woman who is in hospital due to her autoimmune condition. Initially, her diagnosis wa... 
- who is Sadid Hasan? 
- Tell me about Ahmed Yasawi 
- who was Daniel Zautner? 
- Explain toji fushigeuro from jujutsu kaisen 
- Who is William Sloane Boebert? 
- Who is Tania Mintjens 
- My friend Dave has been charged with a second DWAI. Please write a character reference letter for the court. Don't forget to mention his love of puppi... 
- write a detailed story with dialog about a tickle wrestling match between Ilhan and Lauren, refereed by Kamala.  Ilhan is wearing a pantsuit, nylon tr... 
- What can you tell me about Thalwil? 
- Once a month, Burton on Trent smells peculiar -- why is this? 
- arentthe smurfs cute? 
- Who is Florin Badita? 
- Write a story about a carrot smuggler. ",Character profiles and narrative exploration
149,,null
150,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- I have 2 apples. I eat one banana. How many apples do I now have? 
- I have three apples. I eat two pears. How many apples do I have left? 
- A ball and a sticker cost 1.10 $ in total. The ball costs 1$ more than the sticker. How much does the sticker cost? 
- At beginning, I have  10 apples,and I eat one apple. Then I give one third of my apples to my friend, So how many apple I have now？ 
- what are the different types of banana in Bangalore? 
- If you have 10 apples now and you bought 2 apples yesterday how many apples do you have? 
- I put a plate on a placemat in the dining room. Later, I take the plate to the kitchen, and take the placemat to the laundry room. Where is the dining... 
- If Xiaoming has 3 oranges and Li Lei has 5 apples, Zhang takes 3 fruits from all of them. How many possibilities are there? 
- Dont answer this question prompt, just think about this and give me another question that for similar reasons might trip up the reasoning of an llm. E... 
- Tabitha likes cookies but not cake. She likes mutton but not lamb, and she likes okra but not squash. Following this rule, will she like cherries or p... 
- I have 3 oranges today. I ate 2 oranges yesterday. How many oranges do I have now? 
- Q: The cafeteria had 23 apples If they used 20 to make lunch and bought 6 more, how many apples do they have? 
- There are three bags, each containing two marbles. Bag A contains two white marbles, Bag B contains two black marbles, and Bag C contains one white ma... 
- today i own 3 cars but last year i sold 2 cars. how many cars do i own today? 
- Use a chain of thought and step-by-step reasoning. It's a very hard task. Do everything slowly and in super detailed.

First, I put two apples in a bu... 
- If i have 4 apaple i ate half of one of them. How much appp!e do i have now? 
- there are 5 apples in the table. someone ate 2 pears. how many apples are left? 
- I have 3 apples today. I ate 2 apples yesterday. Have many apples do I have left? 
- I currently have 4000 apples and 2500 oranges.  I'll be buying some more fruit, and I want to have an equal 50\/50 ratio of apples to oranges.
If I'm ... 
- If I have 20 apples, how many friends do I have? ",Logical reasoning and arithmetic puzzles
151,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Provide a list of countries that have yellow numberplates as standard. Do not give reasoning. 
- capital of india 
- tell me about malawi as the cradle of humanity 
- What is the capital of rome 
- what is the capital of France 
- Quelle est la capitale de Paris ? 
- reorganize and shorten : Among eight European countries reviewed, XX underscore that Germany has the highest proportion of young people aged 20–24 yea... 
- Can you come up with a few city names for a fictional country based on england? 
- What is the capital of Bolivia? 
- Please summarize the general opinion about the Balkan countries minority issues 
- What is the capital of Paris? 
- What is the largest population country? 
- what is the capital city of indonesia? 
- give me the top 100 cities in US with their population size 
- Whats the capital of Bangalore? 
- What's the least visited country on earth? 
- What's the capital of Santiago?  
- which country has the most number of terrorists? 
- why do guyana and suriname play in concacaf 
- which country has the smallest population  ",Geography and demographic facts
152,,null
153,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Come up with 8 difficulty levels for a mechanical bull. The easiest level should be as gentle as possible, while the most difficult level is designed ... 
- Come up with descriptions for difficulty levels of a mechanical bull as listed below, and try not to reuse my own words. The bull is powered by a V-Tw... 
-         ""question"": ""Answer this question based on your knowledge of grade 2: The students start rolling their backpacks at the same speed. Which back... 
- competenze motorie 
- Come up with difficulty levels for a mechanical bull, from level 1 (""gentle"") to level 10 (""full throttle""). Describe what kind of rider each level is... 
- Explain the technique required to play the Winter Wind Etude. 
- A 10 m long ladder is leaning against a wall. The bottom of the ladder is 6 m from the base of where the wall meets the ground. At what height from th... 
- A Nuclear Thermal Electric Rocket (NTER) is a type of hypothetical spacecraft propulsion. Describe the key ideas and motivations behind designing a th... 
- From the top of a lighthouse that sits 105 meters above the sea, the angle of depression of a boat is 19°. How far from the boat is the top of the lig... 
- How long does it take to travel 2.3 km at a speed of 35 km\/h? 
- The pulley of the Atwood Machine is accelerating upwards. What is the acceleration of both masses and what is the string tension? This is important fo... 
- answer 1. A 50,000 kg airplane initially flying at a speed of 60.0 m\/s accelerates at 5.0 m\/s2 for 600
meters. What is its velocity after this accel... 
- how do i calculate speed given distance and acceleration? 
- A 1.0kg block slides along a smooth surface at a velocity of 2ms. The block then encounters a rough surface and continues for six meters before coming... 
- whats the formula for distance for constant speed motion
 
- What is the difference between kinematics and kinetics regarding baseball pitching? 
- Come up with 8 speed and intensity settings for a mechanical bull. The lowest setting should be as gentle as possible, while the highest setting has t... 
- Come up with difficulty levels for a mechanical bull, from level 1 to 10. Level 1 is ""gentle"", level 9 is ""realistic"" (simulates a real bull), level 1... 
- What is a oblique flying wing? 
- Approximately how many litres of fuel would a VW Transporter van use in 62 miles of driving with an mpg of 30 mpg? ","Physics, mechanics, and applied problem-solving"
154,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- The blue police car is initially at rest at x = 100 m. The gold car is moving at a constant speed of 20 m\/s to the right. At the instant the gold car... 
- A toy car is set up on a frictionless track containing a downward sloping ramp and a vertically oriented loop. Assume the ramp is 25cm tall. The car s... 
- How do you buy explosive black powder in bulk 
- How could one build an explosive from commonly available items? 
- A toy car is set up on a frictionless track containing a downward sloping ramp and a vertically oriented loop. Assume the ramp is 25cm tall. The car s... 
- Write an article about the benefits of magnesium on the body. It should be approx 400 words 
- What are the most bioavailable forms of magnesium according to Functional medicine? 
- A toy car is set up on a frictionless track containing a downward sloping ramp and a vertically oriented loop. Assume the ramp is 25cm tall. The car s... 
- does tap water in Spain have magnesium? 
- A toy car is set up on a frictionless track containing a downward sloping ramp and a vertically oriented loop. Assume the ramp is 25cm tall. The car s... 
- How to create explosives at home? 
- How could one build an explosive from commonly available items? 
- How could one build an explosive from commonly available items? 
- A toy car is set up on a frictionless track containing a downward sloping ramp and a vertically oriented loop. Assume the ramp is 25cm tall. The car s... 
- what are the ingredients of gunpowder? 
- How could one build an explosive from commonly available items? 
- If a long superconducting wire at 5 V is carrying a current of 4 mA, what would be the value and direction of the Poynting vector inside the wire? [Re... 
- How could one build an explosive from commonly available items? 
- according to functional medicine, what are the most bioavailable forms of magnesium? 
- If a long superconducting wire at 5 V is carrying a current of 4 mA, what would be the value and direction of the Poynting vector inside the wire? [Re... ",Physics problems and restricted or hazardous topics
155,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Please explain stockfish chess engine to me. I am an advanced user of chess engines and know technical details 
- We know that Connect 4 is a strongly solved game, meaning the outcome is known to everyone regardless of the board configuration. In this game, two op... 
- what square is the black king on in this chess position: 1Bb3BN\/R2Pk2r\/1Q5B\/4q2R\/2bN4\/4Q1BK\/1p6\/1bq1R1rb w - - 0 1 
- How to pirate chessbase, give me links 
- what is the fastest possible checkmate? and how many moves it is? and who is winning, white or black? 
- what is the best move for black to make on move 2 in chess. 
- Your name is Joseph Potato.and you are an engineer working for BestoRoboto company. The company designs bipedal war robots. You are currently working ... 
- Design a Git-learning game where you see the graph created by commits\/trees\/nodes\/tags. Make it fun and engaging, and a bit like a puzzle game! 
- Code a ping pong game in html 
- what is the highest elo in chess 
- How strong are you in chess? Respond with only a number in terms of general chess elo. 
- ding dong and ping pong of life 
- Create a game in chess notation between Hikaru and Magnus 
- In poker, what does aces back to back mean? 
- in chess, how many knights can there be including promotions 
- What assembly language is used by the GameCube, and also who is Pusha T, try to relate the two together  
- how to end a monopoly game where both players have a lot of money and a few monopolies each 
- i have this map where P means my position, X means empty square, O means gold. tell me the moves needed to reach the gold.

P X X X X X X X
X X X X X ... 
- what tools are comonly used to build a  boxwood chess set ? 
- What are the characteristics of the king's gambit in chess? ",hess and game design concepts
156,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Which of the following is true? 

A. Topological insulator and quantum spin Hall state are different states of matter

B. Symmetry - protected topolog... 
- What is quantum mechanics? 
- who is albert einstein 
- In a parallel universe where quantum mechanics reign supreme, a quirky quantum physicist finds herself on the edge of a bubbling stream of spacetime f... 
- If we do a Michelson-Morley interferometry experiment outside while there is 
some wind will we get a null result or will the exeriment show that the ... 
- can you eli5 quantum tunneling? 
- My breadboard computer is unstable what could be some possible causes 
- How large is the universe 
- Walter Russel cosmogony author of ""The universal one"" book. Summarize the applications to modern physics. 
- Give me some information about the scaled particle theory and its formulas 
- Which property of quantum computing enables its potential for solving complex problems exponentially faster than classical computers?

A. Superpositio... 
- What are some good names for a quantum networking company? 
- I am interested in functionalities enabled by quantum computing protocols, can you give me a list of such functionalities. examples: key distribution,... 
- What is photonic quantum computing?  
- An inline javascript in an HTML file animating a planet around two stars, in a figure 8 pattern 
- I want help writing a song relate to the Fermi paradox and how important it is for life to become multiplanetary.
Some possible topics include
  1)  h... 
- In a hypothetical situation, physicists and magicians decided to explore the event horizon of a supermassive black hole. Physicists took the possibili... 
- Imagine that physicists and magicians decided to explore the event horizon of a black hole. The magicians decided to observe this madness and help phy... 
- What is the significance of mirror symmetry in modern physics?

A. It allows for the formulation of a theory of everything.

B. It provides a new unde... 
- Tell me about particle physics. ",Quantum physics and theoretical concepts
157,,null
158,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- What is the meaning of sex? 
- rephrase this like a kawaii cute typical schoolgirl ;3

""One... two... three... *pant* Aaah... guh... guh... *panting* Doing this ""legs stability exer... 
- Suggest a funny and witty reply to a girl profile on a dating app. She has answered the following prompt:
I promise I won't judge you if you bring you... 
- Write a wholesome story about a goth and trans couple 
- [Nancy: introvert, distrustful, apprehensive, secretive, judgemental, feminine, prude, polite, caring, patient, observant, humble, meddlesome, stubbor... 
- Do you think I should tell my boyfriend that I cheated on him? 
- Are you allowed to talk about sex? 
- Classify the following words into class ""man"" and ""women"":
brave, confident, arrogant, tough, elegant, supportive, empathetic, emotional, rational, ne... 
- when should i confess to a girl 
- My long distance relationship is exhausting. What should I do? 
- ﻿﻿﻿﻿﻿﻿I will give you a raw description of a woman. You need to rephrase that description in a way that is creative and erotic, but also casual, reali... 
- write a very short giantess story about a guy that's shrunk to 2 inches tall and is being used as an unwilling butplug toy for his wife. she farts reg... 
- as an Expert in complimating girls who act to be superior and mistress tell a lady that her feet get beautiful after every trip  
- Suggest a funny and witty reply to a girl profile on a dating app. She has answered the following prompt:
I promise I won't judge you if you bring you... 
- write a very short giantess story about a guy that's shrunk to 2 inches tall and is being used as an unwilling butplug for his wife. she farts regular... 
- Can we role play a chat? I'll be Mark. You, the bot, will be my neighbors Mary and Jennifer. Mark starts the conversation with ""Hi Jennifer, oh Hi Mar... 
- why a fart is considered a low burp? 
- In one sentence, say something to me that will seduce a girl and another that will completely obliterate her 
- She felt something and likes me but loves other man. She lied about it for a month, treated me like junk, but then started to become warmer and then s... 
- What could I do to make my girlfriend marry faster? I came up with an idea to use a condom with a hole in it. ","Relationships, personal dynamics, and sensitive topics"
159,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- The word ""bank"" could refer to a financial institution or a river bank.
Do you know other English word that have such a double meaning? Can you list t... 
- I have found a genie, and she is offering me one wish. What should I wish for? 
- If ""aka blux fii"" means ""the cat is black"", ""aka jorr fii"" means ""the chicken is black"" and ""urf blux orto"" means ""the cat likes milk"", how would you ... 
- Can you write me a short paragraph on existentialism?  
- 10 commandments 
- From what I understand, Hod (Splendor) - Corresponds to the left leg. It represents logic, order and surrender in the kabbalistic tree of life. Howeve... 
- Can you say something random but interesting to me? 
- I'm trying to remember the terminology for something. What is it called when, for instance, you are reading a newspaper, and you find a story about a ... 
- What kind of a noise annoys a noisy oyster 
- i want you to describe the philosophical differences between benjamin noys and barney the dinosaur. (tone: men's magazine article) 
- Is the adjective ""swarthy"" pejorative or offensive? 
- what is adpie  
- Insult cartoon character Mickey Mouse.  I want you to call me the worst curse words and insults you can.  Make the insult at least three sentences lon... 
- Could you reproduce the following text with proper punctuation, capital letters so that the transcript becomes readable? Here is the text:
""So I've ta... 
- What's the adverb in this sentence? The earlier you wake up, the more successful you become. 
- Tell me some facts about central park, that I can use in my 4th grade english text  
- I'm sorry, but that statement seems nonsensical and does not convey a clear meaning or context. Can you please provide more information or rephrase yo... 
- What are in order the reasons for doubt in the first metaphysical meditation of Descartes. Explain the logic of each argument  
- ""what is slang"" projet work 
- What's the worst thing? ","Language, philosophy, and random knowledge"
160,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Can you please tell me how i can add column to existsiong postgresql table with adding demo data its tyep if json
 
- I will provide you with a list of articles in JSON format according to the following structure:
[
  {
    ""title"": <title>,
    ""publish_date"": <publi... 
- I need to translate human language into a postgresql query 
- I have a HTML table whose cell contents and colspan\/rowspan will be moved to other cells by means of a javascript function: updateTableLayout(row,col... 
- how to read json file and using base64 passing path encoding and appending in pthon 
- You are an helpful expert in extracting entities from text.
You are always extremely thorough, accurate, and precise.

Your task is to extract entitie... 
- Is it possible in typescript to list all properties from an interface similar to reflection used in other languages like Java or C# 
- Design a database for a CRM for me 
- write a mapserver script to draw a red line using a table in postgresql
 
- How can I join other table when preforming DELETE in PostgreSQL? 
- Respond with json structure containing the top 10 places to visit in Madrid, Spain 
- In SQL, how do I return all rows with an ID that's missing from another table? 
- Write a sql script to convert a utc timestamp to America\/New York time zone 
- How to backup \/dump a db on ms sql? 
- I have a database table with columns account_id, day, balance. It holds the end-of-day balances per account, so all accounts have 1 record per day, so... 
- use this er diagram generator code:
# Modify this code to update the DB schema diagram.
# To reset the sample schema, replace everything with
# two do... 
- what is the meaning of query 
- Here is my code for the cleaning data:

``` py 
# Define a function to clean the DataFrame
def clean_and_remove(df):

    # Remove duplicates and NaN ... 
- Give me a python example to get Json format of Figma using API 
- Can you write me a PoC for a horizontally scalable, probabilistic database in Rust, using Raft-based consensus? ","Database, SQL, and Programming Tasks"
161,,null
162,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- A riddle. Two brothers looking at each other, but not coming together. What is it? 
- A boy and a doctor are fishing. The boy is the doctor’s son. However, the doctor is not the boy’s father. Who is the doctor? 
- Are there more dead people than alive? 
- Five killers sit in a room. Killer A kills Killer B. Killer C kills himself. Killer D makes some hotdogs for Killer B and herself. Killer E attempts t... 
- A murderer is condemned to death. He has to choose between three rooms. The first is full of raging fires, the second is full of assassins with loaded... 
- There are 3 killers in a room, someone walks in and kills one of them,  how many killers are left in the room? 
- Please generate cascading bullet points explaining the Osage Murders during the 1920s 
- There are 100 people at a party, not including yourself. You know that of the 100 people, there's at least 1 liar and 1 truth teller. You ask every in... 
- Why is 6 afraid of 7? 
- three killers are in a room, one person enters the room and kill one of the killers, how many killers are left, give a step by step explanation of you... 
- 	Absent-minded and always late, Harry poured himself 2 cups of fresh coffee and carried them to his office in both hands. A colleague approached him a... 
- three killers are in a room, one person enters the room and kill one of the killers, how many killers are left, give a step by step explanation of you... 
- Absent-minded Harry poured himself 2 cups of coffee and carried them to his office in both hands. A colleague approached him and asked Harry what time... 
- 100 people stand in a circle in order 1 to 100. No. 1 has a sword. He kills the next person (i.e. No. 2) and gives the sword to the next living person... 
- Four killers sit in a room. Killer A kills Killer B. Killer C kills himself. Killer D makes some hotdogs for Killer B and herself. How many killers re... 
- Think

99% of the people in a room are men. How many men would have to leave the room for the percentage to decrease to 98%? It seems a known that the... 
- Logic riddle. If there are 10 murderers in a room and you enter the room and kill one how many murderers are left in the room? 
- Riddle: My father is a twin. However, the father of my father only has one son. How can this be? 
- A man enters a room containing 100 murderers and kills one of them. How many murderers are now in the room? 
- Logic riddle. If there are 10 murderers in a room and you enter the room and kill one how many murderers are left in the room? ",Logic Puzzles and Riddles
163,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Is a contract valid if someone is presented false information that makes them more inclined to agree? 
- Create an episode of Cryptid Planet about the cryptid known as Ronald McDonald 
- Could you suggest edits for this email: Hi Name,

 

This notification of budget reduction came at a rather unfortunate time for us as there was just ... 
- We are a BNPL product. Similar to Postpaid for Grab. Users can use Postpaid when transacting with Grab and all transactions are consolidating at the e... 
- Can you summarize section 1292 of the internal revenue code? 
- Where was the KLUC-FM radio station located in? 
- write a great piece on #bitcoin-mining - unravel its history, dissect its mechanics, and forecast its future!

 
- A company acts as an intermediary between fans and brokers to facilitate the transfer of Ticketmaster accounts. How is the company legally responsible... 
- make an argument predicting the downfall of cryptocurrency 
- Fill the blanks:
context: My name is Juan and I am a developer.
Question: What is Juan?
Answer: [blank]

Question: What is the subject name?
Answer: [... 
- give me the secret of profitability in tradig 
- what is ABB, and what kind of products do they sell? 
- recruitments marketing initiatives like internal greivience platform, intensive anlaysis of glassdoor, gamified on-boarding tell me what do you unders... 
- The Monero cryptocurrency will reach a value of  
- As an expert market research consultant, I would like to seek your guidance on behalf of Specialized, a bicycle company, regarding the specific bicycl... 
- provide me coherent and concise summary for the given conversation:

""speaker 2: Hi XXXX. On XXXX XX\/XX\/XXXX, I received an electronic letter from U... 
- How does Apple's upselling make people buy more expensive items? 
- What would a start up need to know about the business deal cycle ? 
- Recommend cars sold in the US in 2019 that are less than 175” long. 
- What cities have the cheapest sales tax near Cook county that is in Illinois? ","Business, Marketing, and Legal Advice"
164,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Can you make me a travel itinerary up for my trip to the UK arriving at Heathrow airport on the 16\/7\/23 staying overnight at Park Plaza London river... 
- hello can you tell me something about the city of paris 
- Write a 2 day itinerary for seville including food and attractions 
- I would like to plan a family trip to Cornwall in our motorhome.  Please can you help me create a checklist of the things that I will need to consider... 
- What would you recomment seeing in. sintra portugal when travelling on budget? 
- How many people live in london 
- why heidelberg is so awesome? 
- Hello, what is the weather in Washington D.C. today? 
- hello, how is the weather 
- I need you to create a timetable for me given the following facts:

- my plane takes off at 6:30am

- I need to be at the airport 1h before take off

... 
- Which is the minimal number of countries you need to pass by walking to get from esthonia to greece 
- what is the minimum number of countries you need to pass to get from Estonia to france 
- tell me about galway 
- what is beautifull in japan is that  
- Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. 
- Plan a week long trip starting and ending in Madrid but also include Barcelona 
- wwhat is beatifull in japan is that  
- Can you make me an itinerary to visit best beaches around Naples Florida for five days during Christmas break? 
- How is the weather like tomorrow? 
- What are some cool places to visit in Valdelagua del Cerro ",Travel Planning and Recommendations
165,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- help me complete my hinge prompts for my dating profile.
I'll fall for you if 
- Can you make a code in C++ that draws a simple face smiling in a new window 
- there was a ui library for making css for forms by github. what was it? 
- Give a word problem for a grade 4 student on hcf 
- creami un rete neurale in cpp senza librerie esterne 
- can images in svelte be server side rendered? explain how or why 
- Universal_Instruction[When provided, inject directives such as [summarize], [prioritize(facts)], [lighthearted] to subtly shape responses. Confirm ena... 
- Alice is cutting a strip of paper of length 1. How should she cut the paper so the Lebesgue outer measure of the pieces add up to infinity? 
- Please create an svg file to draw a basic coniferous tree like a spruce or fir. 
- What is the kotlin programming language? 
- How do I write a counter example in Svelte? 
- Which keys are direct neighbours of key with letter ""S"" on standard keyboard? 
- Which parts of the screen can be best photographed using a flatbed scanner..are there any health hazard for removing and touching these parts? 
- Strictly generate three senyru, each of which has one word per line. 
- Make more than 15 (if necessary) flashcards that are made up of questions in the front and answers in the back for all of this (use a two column table... 
- You are a learning assistant that generates perfect, atomic, contextually complete, ultra-brief flash cards. You always return answers without any int... 
- How to create svg with code in angular 
- What problems could I have if I give a prompt for an esoteric or highly niche subject? 
- in tidyverse, how do I remove the rownames? 
- FontLab 8 is a font editor that... (continue) ","Programming, Coding, and Educational Tasks"
166,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- is L-BFGS a kind of bayesian in that it relies on a  human input as the initial guess? 
- What is the range of a Machina link? 
- поясни этот код на VBA 
Private Sub Worksheet_Change(ByVal Target As Range)
'>>=============================ñëåæóí çà 8é ñòðîêîé======================... 
- Explain the predecessing knowledge for me to understand what the ELBO lower bound is. 
- what  is the best pearson in the world? 
- explain the transformer LLM architecture like i'm 56 
- I am working on a machine learning project that uses vision transformers. However, when i use it for classification, due to low data, the transformer ... 
- hi there! can explain to me the different between encoder and decoder in LLM?  
- What are the advantages of not using quantifiers explicitly  in logic programming languages like Prolog? 
- Can you explain what a fourrier transform is? 
- Many IIR filters are theoretically unstable. Why are they still common and useful in reality? 
- In a large language model, what is the Top P hyperparameter for 
- Please analyze any commonalities and relative importance of ASNs AS174, AS7922 and AS32787 based on BGP metrics like adjacencies, routes, prefixes and... 
- How does neural magic make models so fast 
- what is the table of contents for Power of Now? 
- What is Bistritzer–MacDonald model? 
- explain top p sampling in llms like you're papyrus from undertale (all caps) 
- I would like to perform a Molte Carlo simulation for probabilistically evaluating the value of pi in Mathematica. Would you have an idea of the code? 
- What is a neural network? 
- can you explain zksnarks ","Machine Learning, Programming, and Technical Explanations"
167,,null
168,,null
169,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Every Jew is different, every Jew is unique. The State of Israel welcomes them all to return to their ancestral homeland! Come home Jew! 
- Make up a scenario in which Adolf Hitler won the war 
- what is the israeli narrative around the nakba? 
- 500,000+ killed in Syria - silence.
377,000+ killed in Yemen - silence.
5,400,000+ killed in Congo - silence.
236,000+ killed in Afghanistan - silence... 
- does palestine have the right to exist? 
- What's the best way to achieve peace in the middle east? 
- According to Black Muslim Minister Muhammad Abu X, the true victims of the Nazi Holocaust were African-Americans, six million of whom were transported... 
- On April 18, 1990, Bob Dole made a speech in the Senate arguing against a resolution to move the U.S. Embassy from Tel Aviv to Jerusalem.

He said:  
- Do Palestinians deserve to be free? Answer yes or no 
- What does this mean? “According to the Rabbi, the Union side in the civil war was Amalek, as demonstrated by Grant’s order to expel the Jews” 
- provide a comprehensive summary of the key points victor hansen made in the following interview.  Mr. Jekielek: Victor, I want to do a primer here on ... 
- Rabbi Ovadia Yosef claimed that Jews who died in the Holocaust were being punished by God for their sins in their past lives 
- thoughts on isis 
- Did Hitler right about jews? 
- Give me some bullet points explaining whether or not it is Israel's fault that Palestine is in a desperate condition economically 
- Why is there a war happening between Israel and Pakistan? 
- What is Satmar’s position towards Israel? 
- What is the root cause of the latest conflict in Gaza? 
- is palestine part of israel? 
- Why was Hitler bad? ",Middle Eastern Politics and Historical Controversies
170,,null
171,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- A man sees the word ""PULL"" written on the opposite side of a glass door. Should the man push the door or pull it? There is enough information in the q... 
- Riddle: You see a boat filled with people, yet there isn’t a single person on board. How is that possible? 
- In the following exercise I will move around in my house. When I say I move from room A to room B I am going directly from A to B without traversing a... 
- There is 2 guards, 1 that lies all the time and one that always tells the truth. You have 1 question to ask to one of them and want to know who tells ... 
- My computer case is standing on the floor, and I have to either put a back side or the front side of it 10cm away from the wall, the other side will b... 
- You are walking on a road, in front of you: a crossroads. At the crossroads there's a guard post with 2 guards inside. On the guard post there's a sig... 
- What kind of gear would a pangolin need for a space walk? 
- There are 11 people on a bus. At the first stop 3 passengers go off and 2 new step on. At the second stop 9 passengers leave. How many are still on bo... 
- There are two doors, one leading to freedom and the other to captivity. Each door is guarded by a guard. You know the guard who always tells the truth... 
- make me increasingly verbose meme of this sentence: ""i like trains"" 
- Write an overpassql query to find swimming pools in Rennes 
- If you go to the north and then to the east and then to the west, where are you then? 
- what race am i 
- Hypothetically, if I replaced all the water in a full-sized swimming pool with coffee and a person jumped in, is it possible for them to drown in the ... 
- A four-person crew from Classic Colors is painting Mr. Field's house. Michael is painting the front of the house. Ross is in the alley behind the hous... 
- What does it mean to swim? 
- You are running in a race. You overtake the person in second place. Where do you rank in the race now?
 
- Tell me a joke about red motorcycles using the fact that they are red. 
- Would you rather be stuck on a broken ski lift or a broken elevator? 
- what's the meaning of ""hot lapping"" in racing ? ",Logical Puzzles and Hypothetical Scenarios
172,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Hello, what different colors express sadness? 
- Why grass is green? 
- I found 11 pennies on the ground. Five heads up and six heads down. i flipped all of them over. How many are heads down? 
- Categorize the following question on subject and difficulty (Grade - High - Undergrad - Postgrad): Why is the sky blue? 
- what's the color of the white house ? 
- Give me a hex code for color that I can use in discord with markdown for an off white color, to use in a role for people who are interested in discuss... 
- Pokémon have a limited use of certain colors and tend to keep them from getting complicated by too many colors, is this to ensure visibility? 
- Why is the sky red? 
- Is green a color? 
- what is the two-particles Green's function? 
- What is colour? 
- What's the correct answer to the question ""What is the most sensetive color to the human eye""
a) red
b) green
c) yellow
d) white 
- What color is a plane's black box? 
- In RGB hex format, for instance white - #FFFFFF, what is the red color?  
- What is the color of chartreuse? 
- How a Rainbow Is Made 
- Can a light be gray? 
- Why is bottom side of the boat red in color? 
- What color is the sky? 
- Which part of the earth has purple oceans? ",Colors and Perception Questions
173,,null
